AXIS BANK - QUICK STATEMENT EXPORT,,,,
Account No: XXXXXXXX2038,,,,
Customer Name: SUNITA FAKE RAO,,,,
Opening Balance: 597086.83,,,,
,,,,
Date,Particulars,Amount,Dr/Cr,Balance
01/01/25,IMPS/208956435380/MOB/ANITA FAKE IYER,1032.50,Dr,596054.33
01/01/25,IMPS/302344340016/P2A/NEHA MOCK REDDY,194.51,Dr,595859.82
02/01/25,POS/SAMPLE SUPERMARKET/461982,5323.52,Dr,590536.30
02/01/25,POS/PLACEHOLDER BAKERY/100298,2682.26,Dr,587854.04
03/01/25,ATM WDL-ATM146572-TEST NAGAR,1600.00,Dr,586254.04
03/01/25,ATM WDL-ATM631514-SAMPLE CITY,8300.00,Dr,577954.04
03/01/25,IMPS/611420258142/P2A/AMIT SYNTH RAO,695.40,Cr,578649.44
03/01/25,NEFT CR-UTIB0TEST92-POOJA SYNTH DESAI-UTIB98001220012,21438.47,Cr,600087.91
05/01/25,IMPS/383652123817/MOB/MEENA SAMPLE PILLAI,1588.54,Dr,598499.37
06/01/25,IMPS/797706524470/MOB/ARJUN TEST JOSHI,1868.37,Cr,600367.74
06/01/25,NEFT DR-UTIB0TEST81-ANITA SYNTH PATEL-UTIB46547363545,42018.31,Dr,558349.43
06/01/25,IMPS/775103027728/P2A/DEEPAK SAMPLE SHARMA,1034.43,Cr,559383.86
06/01/25,IMPS/223810689594/P2A/MEENA SAMPLE PATEL,637.20,Dr,558746.66
06/01/25,UPI/707131145636/SUNITA MOCK JOSHI/anitademo77@oktestbank,4783.74,Cr,563530.40
07/01/25,POS/MOCK PHARMACY/918811,6943.77,Dr,556586.63
08/01/25,NEFT DR-UTIB0TEST49-POOJA SYNTH SHARMA-UTIB52822535731,31450.27,Dr,525136.36
09/01/25,POS/PLACEHOLDER BAKERY/995673,2557.10,Dr,522579.26
09/01/25,ATM WDL-ATM533845-DEMO PURAM,1300.00,Dr,521279.26
10/01/25,ATM WDL-ATM773672-DEMO PURAM,5300.00,Dr,515979.26
10/01/25,UPI/301061534970/SANJAY MOCK SHARMA/RENT PAYMENT/rahulfake89@sampaytm,24132.24,Dr,491847.02
10/01/25,UPI/300500074290/POOJA MOCK DESAI/deepaksample47@testupi,4907.86,Dr,486939.16
11/01/25,UPI/600357580196/ANITA MOCK KUMAR/sureshmock37@fakeybl,440.33,Cr,487379.49
11/01/25,ATM WDL-ATM711388-MOCKVILLE,5100.00,Dr,482279.49
11/01/25,UPI/963450774886/VIKRAM SYNTH PILLAI/arjunmock46@fakeybl,4961.02,Dr,477318.47
12/01/25,ATM WDL-ATM125868-TEST NAGAR,4000.00,Dr,473318.47
