HDFC BANK LTD - ACCOUNT STATEMENT (CSV EXPORT),,,,,,
Account No: XXXXXXXX9338,,,,,,
Account Name: NEHA DEMO VERMA,,,,,,
Period: 01-Mar-2024 to 31-Mar-2024,,,,,,
,,,,,,
Sl No,Date,Narration,Chq/Ref No,Withdrawal Amt,Deposit Amt,Balance
,01-Mar-2024,OPENING BALANCE,,,,634259.91
1,01-Mar-2024,UPI/969944592299/AMIT MOCK DESAI/meenademo20@oktestbank,969944592299,4550.10,,629709.81
2,01-Mar-2024,ATM WDL-ATM628167-DEMO PURAM,ATM628167,4800.00,,624909.81
3,01-Mar-2024,NEFT DR-HDFC0TEST21-SUNITA TEST SINGH-HDFC82183505385,HDFC82183505385,42866.09,,582043.72
4,01-Mar-2024,NEFT DR-HDFC0TEST32-RAHUL MOCK RAO-HDFC35552287819,HDFC35552287819,40442.62,,541601.10
5,01-Mar-2024,UPI/979876635431/AMIT MOCK IYER/sunitasample91@mockicici,979876635431,3717.36,,537883.74
6,02-Mar-2024,UPI/517967472458/SANJAY TEST SHARMA/deepakfake89@fakeybl,517967472458,,2108.52,539992.26
7,03-Mar-2024,IMPS/747518653010/MOB/VIKRAM FAKE PATEL,747518653010,1936.03,,538056.23
8,04-Mar-2024,ATM WDL-ATM212313-DEMO PURAM,ATM212313,7800.00,,530256.23
9,04-Mar-2024,POS/DUMMY BOOKSTORE/980708,980708,2858.60,,527397.63
10,04-Mar-2024,NEFT CR-HDFC0TEST74-AMIT DEMO PILLAI-HDFC60597572549,HDFC60597572549,,16201.44,543599.07
11,05-Mar-2024,NEFT DR-HDFC0TEST39-SURESH MOCK DESAI-HDFC77187828999,HDFC77187828999,10092.97,,533506.10
12,05-Mar-2024,UPI/389074866553/MEENA SYNTH RAO/amitsynth50@sampaytm,389074866553,637.84,,532868.26
13,05-Mar-2024,POS/TEST MART/226405,226405,6696.52,,526171.74
14,05-Mar-2024,NEFT CR-HDFC0TEST96-VIKRAM FAKE SINGH-HDFC48840235595,HDFC48840235595,,28722.42,554894.16
