ICICI Bank - Mini Statement Export,,,,
Account Number: XXXXXXXX8020,,,,
Customer Name: AMIT SAMPLE RAO,,,,
Opening Balance: 24010.93,,,,
,,,,
Txn Date,Description,Debit,Credit,Balance
01-Jul-2024,POS/FAKE ELECTRONICS/129101,2086.09,,21924.84
01-Jul-2024,ATM WDL-ATM655734-SAMPLE CITY,5900.00,,16024.84
02-Jul-2024,NEFT CR-ICIC0TEST97-HOOLI FAKE TESTCORP PVT LTD-SALARY-ICIC64244684618,,78617.29,94642.13
04-Jul-2024,NEFT DR-ICIC0TEST23-SURESH TEST SHARMA-ICIC22298365866,26277.80,,68364.33
04-Jul-2024,UPI/150551000990/ARJUN MOCK REDDY/amitsynth74@demobank,,3875.30,72239.63
04-Jul-2024,IMPS/135568066390/MOB/POOJA SAMPLE MENON,,836.40,73076.03
04-Jul-2024,ATM WDL-ATM423788-TEST NAGAR,1800.00,,71276.03
04-Jul-2024,POS/MOCK PHARMACY/330925,2552.04,,68723.99
05-Jul-2024,RTGS CR-ICIC0TEST89-NEHA TEST MENON-ICIC79552023240,,842068.81,910792.80
05-Jul-2024,ATM WDL-ATM581042-MOCKVILLE,1800.00,,908992.80
06-Jul-2024,POS/TEST MART/580110,724.47,,908268.33
06-Jul-2024,ATM WDL-ATM568181-TEST NAGAR,4000.00,,904268.33
06-Jul-2024,POS/DEMO FUEL STATION/650889,6955.60,,897312.73
07-Jul-2024,UPI/778558266914/KAVITA FAKE KUMAR/sanjayfake78@mockicici,1626.47,,895686.26
07-Jul-2024,NEFT CR-ICIC0TEST95-VIKRAM MOCK PATEL-ICIC70120612640,,38938.98,934625.24
08-Jul-2024,UPI/139370799877/ANITA MOCK VERMA/arjundemo16@demobank,2842.20,,931783.04
09-Jul-2024,IMPS/787738275411/MOB/PRIYA SAMPLE SINGH,974.46,,930808.58
09-Jul-2024,NEFT CR-ICIC0TEST78-VIKRAM SYNTH JOSHI-ICIC15975149178,,21273.29,952081.87
10-Jul-2024,POS/FAKE ELECTRONICS/694242,4366.34,,947715.53
10-Jul-2024,POS/DEMO FUEL STATION/565477,7123.67,,940591.86
10-Jul-2024,POS/SYNTH CAFE/308420,7942.85,,932649.01
12-Jul-2024,IMPS/734758240886/P2A/POOJA FAKE RAO,,115.66,932764.67
13-Jul-2024,REVERSAL-787738275411-WRONGLY DEBITED ON 09/07/2024,,974.46,933739.13
14-Jul-2024,IMPS/115782395688/P2A/POOJA SAMPLE DESAI,1134.35,,932604.78
15-Jul-2024,POS/SYNTH CAFE/654587,7268.98,,925335.80
16-Jul-2024,UPI/365324035346/RAHUL SAMPLE GUPTA/nehafake56@oktestbank,3621.31,,921714.49
16-Jul-2024,ATM WDL-ATM731090-DEMO PURAM,1100.00,,920614.49
16-Jul-2024,NEFT CR-ICIC0TEST77-POOJA FAKE MENON-ICIC15567220473,,23753.08,944367.57
17-Jul-2024,IMPS/611007310284/P2A/SURESH DEMO REDDY,,1463.65,945831.22
17-Jul-2024,POS/SYNTH CAFE/193262,4678.02,,941153.20
18-Jul-2024,NEFT DR-ICIC0TEST62-MEENA FAKE RAO-ICIC92041999757,16851.12,,924302.08
18-Jul-2024,NEFT DR-ICIC0TEST55-KAVITA SYNTH PILLAI-ICIC37911043581,30540.31,,893761.77
19-Jul-2024,UPI/105588732141/RAHUL SYNTH REDDY/priyamock62@sampaytm,919.69,,892842.08
20-Jul-2024,IMPS/771062849521/MOB/POOJA SYNTH VERMA,,1672.18,894514.26
20-Jul-2024,INTEREST CREDIT AS PER TARIFF,,285.83,894800.09
20-Jul-2024,POS/SYNTH CAFE/684987,3337.95,,891462.14
20-Jul-2024,IMPS/171449405065/P2A/AMIT TEST VERMA,,368.93,891831.07
21-Jul-2024,UPI/119761500444/DEEPAK SYNTH VERMA/sureshsample19@demobank,337.98,,891493.09
22-Jul-2024,A/C MAINTENANCE CHARGES INCL. GST @18%,92.92,,891400.17
23-Jul-2024,UPI/878384730708/SURESH TEST NAIR/sunitafake93@oktestbank,,411.06,891811.23
23-Jul-2024,IMPS/198740937938/MOB/VIKRAM DEMO GUPTA,1762.23,,890049.00
24-Jul-2024,IMPS/719617077043/MOB/SURESH SAMPLE PILLAI,,1567.44,891616.44
25-Jul-2024,NEFT DR-ICIC0TEST19-AMIT DEMO SINGH-ICIC49509912663,13099.77,,878516.67
25-Jul-2024,UPI/467308065977/RAHUL SAMPLE JOSHI/rahulmock49@demobank,,3164.31,881680.98
25-Jul-2024,IMPS/258359948840/P2A/VIKRAM TEST REDDY,,539.57,882220.55
25-Jul-2024,UPI/169777575703/KAVITA TEST IYER/RENT PAYMENT/kavitademo43@sampaytm,29509.08,,852711.47
26-Jul-2024,POS/FAKE ELECTRONICS/726828,4372.34,,848339.13
28-Jul-2024,NEFT CR-ICIC0TEST33-NEHA FAKE PILLAI-ICIC48461582788,,7011.70,855350.83
28-Jul-2024,POS/TEST MART/195572,1837.90,,853512.93
28-Jul-2024,POS/DEMO FUEL STATION/462431,2739.63,,850773.30
28-Jul-2024,NEFT CR-ICIC0TEST30-ANITA MOCK REDDY-ICIC92984411430,,30566.90,881340.20
30-Jul-2024,IMPS/762247604955/MOB/SURESH MOCK JOSHI,1081.97,,880258.23
31-Jul-2024,CLOSING BALANCE,,,880258.23
,,,,
End of statement.,,,,
