KOTAK MAHINDRA BANK - CSV EXPORT,,,,,
Account No: XXXXXXXX4348,,,,,
Account Name: SURESH SAMPLE PATEL,,,,,
Opening Balance: 714267.40,,,,,
,,,,,
Date,Narration,Ref No,Amount,Dr/Cr,Running Balance
02 Apr 2025,ATM WDL-ATM767274-DEMO PURAM,ATM767274,5800.00,Dr,708467.40
02 Apr 2025,ATM WDL-ATM788287-MOCKVILLE,ATM788287,4800.00,Dr,703667.40
02 Apr 2025,POS/SYNTH CAFE/134893,134893,3318.67,Dr,700348.73
03 Apr 2025,NEFT DR-KKBK0TEST58-DEEPAK MOCK JOSHI-KKBK75015797891,KKBK75015797891,10084.05,Dr,690264.68
03 Apr 2025,UPI/805593415822/VIKRAM MOCK SHARMA/nehamock57@oktestbank,805593415822,2900.04,Dr,687364.64
03 Apr 2025,POS/SAMPLE SUPERMARKET/212917,212917,6570.48,Dr,680794.16
03 Apr 2025,NEFT CR-KKBK0TEST95-PRIYA SAMPLE KUMAR-KKBK56753186004,KKBK56753186004,23669.26,Cr,704463.42
03 Apr 2025,IMPS/623091058845/P2A/AMIT MOCK RAO,623091058845,1110.08,Dr,703353.34
04 Apr 2025,UPI/855117431726/DEEPAK SYNTH JOSHI/vikramdemo14@demobank,855117431726,3665.43,Dr,699687.91
05 Apr 2025,NEFT CR-UTIB0RZP001-RAZORPAY SOFTWARE PVT LTD-KKBK78135402366,KKBK78135402366,41262.88,Cr,740950.79
05 Apr 2025,NEFT DR-KKBK0TEST70-MEENA FAKE SINGH-KKBK24539131302,KKBK24539131302,40171.63,Dr,700779.16
05 Apr 2025,IMPS/768537118990/MOB/SANJAY SYNTH GUPTA,768537118990,1570.16,Cr,702349.32
06 Apr 2025,UPI/629197471260/ANITA SAMPLE JOSHI/sanjaysynth49@mockicici,629197471260,271.71,Dr,702077.61
06 Apr 2025,ATM WDL-ATM462685-MOCKVILLE,ATM462685,2600.00,Dr,699477.61
06 Apr 2025,ATM WDL-ATM284494-SYNTHTOWN,ATM284494,8100.00,Dr,691377.61
06 Apr 2025,IMPS/930543439880/MOB/KAVITA TEST IYER,930543439880,214.86,Dr,691162.75
07 Apr 2025,POS/MOCK PHARMACY/564721,564721,4684.69,Dr,686478.06
