STATE BANK OF INDIA - CSV STATEMENT,,,,,
Account No : XXXXXXXX6190,,,,,
Account Name : VIKRAM SAMPLE PILLAI,,,,,
Period : 01-10-2024 to 31-10-2024,,,,,
,,,,,
Sl.No,Txn Date,Narration,Withdrawal,Deposit,Balance
,01-10-2024,OPENING BALANCE,,,995472.14
1,01-10-2024,INTEREST CREDIT AS PER TARIFF,,250.91,995723.05
2,02-10-2024,UPI/207754511755/SANJAY SAMPLE REDDY/sanjaysynth25@sampaytm,,603.63,996326.68
3,02-10-2024,IMPS/958926200912/MOB/DEEPAK TEST VERMA,,1706.26,998032.94
4,04-10-2024,NEFT DR-SBIN0TEST23-SUNITA DEMO SINGH-SBIN28005742982,29960.25,,968072.69
5,05-10-2024,NEFT CR-SBIN0TEST15-KAVITA TEST SHARMA-SBIN69796053121,,45746.79,1013819.48
6,06-10-2024,NEFT DR-SBIN0TEST71-NEHA MOCK REDDY-SBIN70305384012,25584.97,,988234.51
7,07-10-2024,POS/SAMPLE SUPERMARKET/131592,5971.40,,982263.11
8,08-10-2024,UPI/140509309009/DEEPAK SYNTH SINGH/sureshfake58@testupi,,353.35,982616.46
9,08-10-2024,ATM WDL-ATM637093-TEST NAGAR,5600.00,,977016.46
10,09-10-2024,POS/FAKE ELECTRONICS/771722,7734.87,,969281.59
11,10-10-2024,RTGS DR-SBIN0TEST69-SUNITA TEST JOSHI-SBIN23325751409,964749.22,,4532.37
12,11-10-2024,UPI/476243747367/NEHA SYNTH IYER/amitdemo44@oktestbank,,2960.30,7492.67
13,11-10-2024,REVERSAL-SBIN23325751409-WRONGLY DEBITED ON 10/10/2024,,964749.22,972241.89
14,12-10-2024,NEFT CR-SBIN0TEST37-GLOBEX SAMPLE SOLUTIONS PVT LTD-SALARY-SBIN66487926531,,38338.80,1010580.69
15,13-10-2024,ATM WDL-ATM758091-SYNTHTOWN,4600.00,,1005980.69
16,14-10-2024,UPI/962790419169/SURESH MOCK GUPTA/RENT PAYMENT/sunitatest35@mockicici,31742.03,,974238.66
17,14-10-2024,UPI/800248019231/DEEPAK SYNTH REDDY/sanjaysynth94@testupi,438.07,,973800.59
18,16-10-2024,UPI/478477607196/PRIYA MOCK GUPTA/vikramtest48@fakeybl,2879.01,,970921.58
19,17-10-2024,POS/TEST MART/374093,7573.43,,963348.15
20,20-10-2024,ATM WDL-ATM347890-MOCKVILLE,1400.00,,961948.15
21,20-10-2024,NEFT DR-SBIN0TEST55-SURESH MOCK RAO-SBIN63356137413,7290.31,,954657.84
22,21-10-2024,POS/DEMO FUEL STATION/460502,6242.61,,948415.23
23,23-10-2024,UPI/903197633481/AMIT DEMO KUMAR/amitfake80@testupi,1141.00,,947274.23
24,26-10-2024,A/C MAINTENANCE CHARGES INCL. GST @18%,95.86,,947178.37
25,29-10-2024,ATM WDL-ATM930250-MOCKVILLE,8200.00,,938978.37
26,30-10-2024,NEFT CR-SBIN0TEST87-ANITA MOCK KUMAR-SBIN19572051316,,14718.05,953696.42
,,,,,
Closing Balance as on 31-10-2024 : 953696.42,,,,,
